ra,dec,phot_g_mean_flux
51.95564674823824,40.4507262108322,694316.9155643411
47.66407850933477,39.21522327794361,791518.5832898745
46.22115121760793,41.09110203896576,889337.6520168147
51.35381238849663,43.60589998269123,761740.233161753
49.067518389321314,44.39803799148242,420687.7939990948
56.26406678353704,41.98844912545551,347380.0548638568
56.48472286209023,45.2455286609428,3161021.8655450144
59.439461486555366,45.97175606630529,207303.1432225328
59.35556587556622,49.070616237087755,4167532.61295131
54.56633927570963,47.818111890368215,555516.9591897978
56.1438413944915,49.493220240429565,580381.7582361158
59.78961072092238,51.67545939264698,475257.84160342615
58.84532747007861,53.557698013515584,7590033.196073803
70.00292151924081,45.772570241790085,357298.45321080065
72.97783683953028,47.783350167789436,509237.07275504956
68.95314408496023,47.38527299736281,558094.33620079
72.69272432492045,50.914523071463805,442053.203080436
77.5805965262104,50.00863354215607,675624.6937433896
85.29966115579096,52.39313008516471,2495030.400866629
89.00112735189822,56.096167011969634,184187.5354750497
80.418611822527,55.13836144082519,668524.8247767179
84.75649426940315,57.004259960103575,496073.86086094246
67.58423201338078,51.121187309807816,950180.9498562111
67.50022889218683,53.87281042866734,2317491.820021377
72.72818965550879,55.441765390453064,405778.6403148905
61.97229314540762,53.73115104948615,603597.1609317228
71.23410191727594,56.3001101899636,1792714.3118298762
72.55758558498196,58.975974280224115,496891.18690597964
76.16065536253421,58.25864035428814,1681554.1670164177
83.8480542326518,59.87016677992753,163310.66967789343
78.48138837591843,60.05150094569964,1533628.1193932986
83.6612919341311,62.18654748077771,154577.3889028277
82.64781327203889,63.9549901943157,1.0133023120790878E7
23.19408489995407,22.725982623178886,348071.62265919003
20.135779615588326,24.043730785945705,905687.7568447988
22.114627314270997,27.14893684611547,2494442.8467967315
27.941711730729796,28.135539770057733,864212.9347499444
31.314598369615524,31.075798354866453,444034.11751299206
23.8219312576691,30.670886726912496,2999118.295107062
27.06743874084662,32.861374282663576,972788.4165580954
14.723620824728076,26.73988481832452,355397.67392892356
19.35864010169534,31.54190488196389,1497019.7058235912
17.418630212634977,30.81106335961038,1654610.8246638281
22.229281973024147,30.312964729429588,1808569.4202578226
22.18347235015309,34.11056679598935,451826.8008512811
25.08886106418997,35.671153840511,238146.48329790973
18.403153087150084,34.93278238511853,5390476.454630277
23.966350835007724,38.610037260527804,956435.4363909437
33.81137624842716,30.709597079979503,218875.34952982044
32.65874346132644,33.93813964286775,440616.95880821126
34.55000641844144,35.315602550359614,1.0121373266890073E7
33.2235061701234,35.32215258321473,7845782.845420861
33.59848157906056,36.44719676704682,489063.59765174985
