ra,dec,flux,l,b
0.658872633225902,56.657291527911035,309677.42977209506,116.22953261227373,-5.57804177101337
4.787506937362522,56.745507703388846,230781.71305464068,118.4926926560941,-5.847685951404577
3.8686213367409925,56.13597888442587,1114612.4168580028,117.90495238873405,-6.384351727457149
3.2332582374449648,58.486700008195086,411369.4799435501,117.90523724970517,-4.008746734518808
15.461815600581717,55.838694306359734,1.0052518230100732E7,124.40383579079153,-7.003303526720176
15.556574628188075,57.53283980430409,269405.8521777147,124.3856193506088,-5.308456030368283
11.598883187805123,57.13888306749594,372778.8647477891,122.24452323747093,-5.726136779893932
10.87894064573663,58.73561836364829,1460211.8148791336,121.90153033332017,-4.1202812188196125
16.424267485718065,59.18186827324427,533837.2940256898,124.76103332313501,-3.6392311440585914
16.63330451060903,60.54320360638764,286335.9302300631,124.78820774130526,-2.274127728132395
11.779963007293073,60.6178478503291,1582462.3745684596,122.40188939235415,-2.2494581981407356
11.016239819487526,61.818870077205965,911338.1088848412,122.06140363692927,-1.0404172255689885
6.287871340879706,59.612123799085786,284635.1648534546,119.60825438659789,-3.089884395034983
6.094692925378677,61.32688603864763,375700.49337500695,119.69097089411123,-1.3744726920629644
1.5761272635563113,61.07038358056788,2172467.9561153147,117.49939528279266,-1.324415056361719
0.7308413727581542,62.97512150860176,301010.1332909307,117.45334197759203,0.6205734402802647
7.175124224624714,62.56767520877257,1733720.7377937716,120.31650546780325,-0.18855386097416843
5.377901379510579,64.28684340676934,1170274.9159710412,119.69213992195031,1.6035048942190226
1.2413498547127897,63.97593777345495,318914.1829549302,117.8608409342631,1.5626989573276668
44.8856071164238,43.930814703575024,418471.17736207397,146.02064657471104,-13.123147338198505
43.27754060648,45.7209752765727,454561.9768010855,144.12365721950277,-12.084920570180856
47.85556789786373,47.54395494681506,657235.2585854743,146.00601118310001,-8.95841616662401
48.88833565413123,49.15491697789146,1.1737578318776898E7,145.74756601434711,-7.226171448866758
43.42964282215019,47.61388746704522,2429712.9852657667,143.32951879950843,-10.356544849457572
39.34758065603541,48.54803079867398,248535.2065924275,140.41801437541835,-10.693418040193352
46.34976292089417,49.83090722127492,407896.47307581006,143.97044249491373,-7.4890084910219
42.67307088458732,52.32429190867306,3648984.478628563,140.73602329128803,-6.3762133030606964
52.80001388518442,50.671759231968245,381002.2170588082,147.02185794980159,-4.5736333426903055
58.30304078471902,54.040889930828605,381410.0530574697,147.66690787570852,0.1387759479110921
48.588189070340235,52.98468841367546,571317.811109838,143.56851110589832,-4.0636500520644665
52.26098728699391,54.719768024978315,541424.9339336908,144.44608156021405,-1.430693878930742
54.60228536473194,58.56397789601172,876015.9980636484,143.26984925289676,2.4484043660391093
37.92414079263251,50.51519196973996,463813.96813756705,138.77057074589166,-9.247657828276893
37.37224040486335,51.36345045683458,658356.9163354023,138.12028764532758,-8.593606759556426
38.05574244206105,53.1987319811306,478252.4144479479,137.81200041905208,-6.7362748250567535
43.967277075514204,54.80693229193548,292709.78585754015,140.29487827533148,-3.814838847426444
41.59462774266406,55.446879331785624,200429.93970652783,138.79198264218326,-3.8453566980880276
33.81572440427673,52.3845673562291,328971.5890755876,135.68001321399126,-8.400066733053645
33.91408771781974,54.249483115630035,280461.663785169,135.13079868743438,-6.615437941012867
31.53938894361423,54.76448235401565,177747.38465719842,133.65104000713188,-6.5447181184513425
33.26274236691213,56.11990647140555,191910.5049848657,134.18095353093597,-4.959021186895983
36.9812769877132,56.597219482207244,6319927.461373685,135.96332068903297,-3.8134873380148524
38.547708695369465,58.40548447694184,6070044.812241922,136.06500781220092,-1.8216806363930682
